case,mu_a,mu_s,mu_t,albedo,mfp,mu_eff,aMacro
1,1.8,0.2,2,0.1,0.5,3.29,0.0565023
2,1.2,0.8,2,0.4,0.5,2.68,0.05636875
3,0.6,1.4,2,0.7,0.5,1.9,0.05643087
4,0.2,1.8,2,0.9,0.5,1.1,0.0567936
5,0,2,2,1,0.5,0,0.05711966
6,3.6,0.4,4,0.1,0.25,6.57,0.05017284
7,2.4,1.6,4,0.4,0.25,5.37,0.0491726
8,1.2,2.8,4,0.7,0.25,3.79,0.04771254
9,0.4,3.6,4,0.9,0.25,2.19,0.04652696
10,0,4,4,1,0.25,0,0.04599528
11,5.4,0.6,6,0.1,0.17,9.86,0.04645053
12,3.6,2.4,6,0.4,0.17,8.05,0.04552307
13,1.8,4.2,6,0.7,0.17,5.69,0.04376434
14,0.6,5.4,6,0.9,0.17,3.29,0.04164968
15,0,6,6,1,0.17,0,0.04020195
16,7.2,0.8,8,0.1,0.13,13.15,0.04303369
17,4.8,3.2,8,0.4,0.13,10.73,0.04246869
18,2.4,5.6,8,0.7,0.13,7.59,0.04080637
19,0.8,7.2,8,0.9,0.13,4.38,0.03828522
20,0,8,8,1,0.13,0,0.03605873
21,10.8,1.2,12,0.1,0.08,19.72,0.03711349
22,7.2,4.8,12,0.4,0.08,16.1,0.03708905
23,3.6,8.4,12,0.7,0.08,11.38,0.03595685
24,1.2,10.8,12,0.9,0.08,6.57,0.03321604
25,0,12,12,1,0.08,0,0.02979587
26,18,2,20,0.1,0.05,32.86,0.02915934
27,12,8,20,0.4,0.05,26.83,0.02938807
28,6,14,20,0.7,0.05,18.97,0.02876426
29,2,18,20,0.9,0.05,10.95,0.02607771
30,0,20,20,1,0.05,0,0.02089857
31,27,3,30,0.1,0.03,49.3,0.02406435
32,18,12,30,0.4,0.03,40.25,0.02399125
33,9,21,30,0.7,0.03,28.46,0.02321045
34,3,27,30,0.9,0.03,16.43,0.02038731
35,0,30,30,1,0.03,0,0.01354966
