case,sec,it,opticalDepth,albedo
1,896.0,405.0,2.0,0.1
6,884.0,401.0,4.0,0.1
11,886.0,401.0,6.0,0.1
16,887.0,401.0,8.0,0.1
21,888.0,401.0,12.0,0.1
26,887.0,401.0,20.0,0.1
31,889.0,401.0,30.0,0.1
2,1117.0,505.0,2.0,0.4
7,1035.0,470.0,4.0,0.4
12,940.0,424.0,6.0,0.4
17,885.0,401.0,8.0,0.4
22,887.0,401.0,12.0,0.4
27,885.0,401.0,20.0,0.4
32,888.0,401.0,30.0,0.4
3,1374.0,621.0,2.0,0.7
8,1387.0,627.0,4.0,0.7
13,1294.0,588.0,6.0,0.7
18,1193.0,541.0,8.0,0.7
23,1008.0,458.0,12.0,0.7
28,888.0,401.0,20.0,0.7
33,885.0,401.0,30.0,0.7
4,1617.0,733.0,2.0,0.9
9,1889.0,854.0,4.0,0.9
14,1993.0,901.0,6.0,0.9
19,1990.0,901.0,8.0,0.9
24,1867.0,838.0,12.0,0.9
29,1497.0,677.0,20.0,0.9
34,1186.0,536.0,30.0,0.9
5,1790.0,810.0,2.0,1.0
10,2395.0,1076.0,4.0,1.0
15,2942.0,1330.0,6.0,1.0
20,3486.0,1578.0,8.0,1.0
25,4550.0,2066.0,12.0,1.0
30,6633.0,3014.0,20.0,1.0
35,9227.0,4150.0,30.0,1.0
99,99.0,99.0,99.0,1.9
